card_id,card_name,atk,dfd,guardian_star1,guardian_star2,type,starchips,password
136,Witty Phantom,1400,1300,Mercury,Mars,Fiend,140,36304921
137,Mystery Hand,500,500,Moon,Uranus,Fiend,20,62793020
138,Dragon Statue,1100,900,Uranus,Mars,Warrior,55,9197735
139,Blue-eyed Silver Zombie,900,700,Sun,Pluto,Zombie,35,35282433
140,Toad Master,1000,1000,Neptune,Venus,Aqua,55,62671448
141,Spiked Snail,700,1300,Moon,Jupiter,Insect,55,98075147
142,Flame Manipulator,900,1000,Mars,Pluto,Spellcaster,50,34460851
143,Necrolancer the Timelord,800,900,Venus,Uranus,Spellcaster,40,61454890
144,Djinn the Watcher of the Wind,700,900,Saturn,Mercury,Spellcaster,35,97843505
145,The Bewitching Phantom Thief,700,700,Venus,Pluto,Spellcaster,30,24348204
146,Temple of Skulls,900,1300,Mercury,Pluto,Zombie,70,732302
147,Monster Egg,600,900,Uranus,Jupiter,Warrior,300,36121917
148,The Shadow Who Controls the Dark,800,700,Mercury,Jupiter,Fiend,30,63125616
149,Lord of the Lamp,1400,1200,Mercury,Saturn,Fiend,120,99510761
150,Akihiron,1700,1400,Neptune,Jupiter,Aqua,230,36904469
151,Rhaimundos of the Red Sword,1200,1300,Neptune,Mars,Warrior,100,62403074
152,The Melting Red Shadow,500,700,Moon,Neptune,Aqua,25,98898173
153,Dokuroizo the Grim Reaper,900,1200,Moon,Pluto,Zombie,60,25882881
154,Fire Reaper,700,500,Mars,Sun,Zombie,25,53581214
155,Larvas,800,1000,Jupiter,Mercury,Beast,45,94675535
156,Hard Armor,300,1200,Uranus,Sun,Warrior,30,20060230
157,Firegrass,700,600,Mars,Moon,Plant,30,53293545
158,Man Eater,800,600,Jupiter,Uranus,Plant,30,93553943
159,Dig Beak,500,800,Jupiter,Pluto,Beast,30,29948642
160,M-warrior #1,1000,500,Uranus,Moon,Warrior,30,56342351
161,M-warrior #2,500,1000,Uranus,Venus,Warrior,30,92731455
162,Tainted Wisdom,1250,800,Moon,Mercury,Fiend,55,28725004
163,Lisark,1300,1300,Saturn,Pluto,Beast,120,55210709
164,Lord of Zemia,1300,1000,Mercury,Uranus,Fiend,80,81618817
165,The Judgement Hand,1400,700,Sun,Venus,Warrior,60,28003512
166,Mysterious Puppeteer,1000,1500,Uranus,Mercury,Warrior,100,54098121
167,Ancient Jar,400,200,Uranus,Neptune,Rock,15,81492226
168,Darkfire Dragon,1500,1250,Mars,Venus,Dragon,140,17881964
169,Dark King of the Abyss,1200,800,Mercury,Pluto,Fiend,55,53375573
170,Spirit of the Harp,800,2000,Sun,Mars,Fairy,160,80770678
171,Big Eye,1200,1000,Venus,Neptune,Fiend,70,16768387
172,Armaill,700,1300,Mars,Mercury,Warrior,55,53153481
173,Dark Prisoner,600,1000,Mercury,Neptune,Fiend,35,89558090
174,Hurricail,900,200,Saturn,Neptune,Spellcaster,25,15042735
175,Ancient Brain,1000,700,Mercury,Moon,Fiend,40,42431843
176,Fire Eye,800,600,Mars,Saturn,Pyro,30,88435542
177,Monsturtle,800,1000,Neptune,Mercury,Aqua,45,15820147
178,Claw Reacher,1000,800,Mercury,Mars,Fiend,45,41218256
179,Phantom Dewan,700,600,Mercury,Jupiter,Spellcaster,30,77603950
180,Arlownay,800,1000,Jupiter,Neptune,Plant,45,14708569
181,Dark Shade,1000,1000,Saturn,Mars,Fiend,55,40196604
182,Masked Clown,500,700,Mercury,Saturn,Warrior,25,77581312
183,Lucky Trinket,600,800,Sun,Jupiter,Spellcaster,30,3985011
184,Genin,600,900,Venus,Sun,Spellcaster,30,49370026
185,Eyearmor,600,500,Uranus,Mars,Warrior,25,64511793
186,Fiend Refrection #2,1100,1400,Venus,Mars,WingedBeast,100,2863439
187,Gate Deeg,700,800,Moon,Mars,Beast,30,49258578
188,Synchar,800,900,Jupiter,Sun,Beast,40,75646173
189,Fusionist,900,700,Jupiter,Moon,Beast,35,1641882
190,Akakieisu,1000,800,Mercury,Uranus,Spellcaster,45,38035986
191,LaLa Li-oon,600,600,Pluto,Moon,Thunder,25,9430387
192,Key Mace,400,300,Sun,Saturn,Fairy,15,1929294
193,Turtle Tiger,1000,1500,Neptune,Saturn,Aqua,100,37313348
194,Terra the Terrible,1200,1300,Moon,Jupiter,Fiend,100,63308047
195,Doron,900,500,Neptune,Moon,Warrior,30,756652
196,Arma Knight,1000,1200,Neptune,Venus,Aqua,70,36151751
197,Mech Mole Zombie,500,400,Moon,Saturn,Zombie,20,63545455
198,Happy Lover,800,500,Sun,Uranus,Fairy,30,99030164
199,Penguin Knight,900,800,Uranus,Mercury,Aqua,40,36039163
200,Petit Dragon,600,700,Saturn,Sun,Dragon,30,75356564
201,Frenzied Panda,1200,1000,Jupiter,Venus,Beast,70,98818516
202,Air Marmot of Nefariousness,400,600,Moon,Uranus,Beast,20,75889523
203,Phantom Ghost,600,800,Moon,Pluto,Zombie,30,61201220
204,Mabarrel,1700,1400,Moon,Neptune,Fiend,230,98795934
205,Dorover,900,800,Neptune,Sun,Aqua,40,24194033
206,Twin Long Rods #1,900,700,Moon,Mercury,Aqua,35,60589682
207,Droll Bird,600,500,Saturn,Moon,WingedBeast,25,97973387
208,Petit Angel,600,900,Sun,Pluto,Fairy,30,38142739
209,Winged Cleaver,700,700,Jupiter,Mercury,Insect,30,39175982
210,Hinotama Soul,600,500,Mars,Uranus,Pyro,25,96851799
211,Kaminarikozou,700,600,Pluto,Venus,Thunder,30,15510988
212,Meotoko,700,600,Moon,Mars,Beast,30,53832650
213,Aqua Madoor,1200,2000,Neptune,Mercury,Spellcaster,260,85639257
214,Kagemusha of the Blue Flame,800,400,Mars,Sun,Warrior,25,15401633
215,Flame Ghost,1000,800,Mars,Pluto,Zombie,45,58528964
216,Dryad,1200,1400,Jupiter,Uranus,Spellcaster,120,84916669
217,B. Skull Dragon,3200,2500,Moon,Jupiter,Dragon,30000,11901678
218,Two-mouth Darkruler,900,700,Moon,Saturn,Dinosaur,35,57305373
219,Solitude,1050,1000,Moon,Uranus,BeastWarrior,55,84794011
220,Masked Sorcerer,900,1400,Mercury,Neptune,Spellcaster,80,10189126
221,Kumootoko,700,1400,Jupiter,Pluto,Insect,60,56283725
222,Midnight Fiend,800,600,Moon,Neptune,Fiend,30,83678433
223,Roaring Ocean Snake,2100,1800,Neptune,Mars,Aqua,550,19066538
224,Trap Master,500,1100,Mercury,Moon,Warrior,35,46461247
225,Fiend Sword,1400,800,Moon,Mercury,Warrior,70,22855882
226,Skull Stalker,900,800,Moon,Mars,Warrior,40,54844990
227,Hitodenchak,600,700,Neptune,Mars,Aqua,30,46718686
228,Wood Remains,1000,900,Jupiter,Neptune,Zombie,50,17733394
229,Hourglass of Life,700,600,Sun,Neptune,Fairy,30,8783685
230,Rare Fish,1500,1200,Neptune,Jupiter,Fish,140,80516007
231,Wood Clown,800,1200,Mercury,Mars,Warrior,55,17511156
232,Madjinn Gunn,600,800,Moon,Jupiter,Fiend,30,43905751
233,Dark Titan of Terror,1300,1100,Mercury,Jupiter,Fiend,120,89494469
234,Beautiful Headhuntress,1600,800,Mercury,Saturn,Warrior,120,16899564
235,Wodan the Resident of the Forest,900,1200,Jupiter,Sun,Warrior,500,42883273
236,Guardian of the Labyrinth,1000,1200,Pluto,Mercury,Warrior,70,89272878
237,Haniwa,500,500,Uranus,Jupiter,Rock,20,84285623
238,Yashinoki,800,600,Jupiter,Moon,Plant,30,41061625
239,Vishwar Randi,900,700,Mercury,Uranus,Warrior,35,78556320
240,The Drdek,700,800,Moon,Saturn,Fiend,30,8944575
241,Dark Assailant,1200,1200,Moon,Uranus,Zombie,120,41949033
242,Candle of Fate,600,600,Mars,Moon,Fiend,25,47695416
243,Water Element,900,700,Neptune,Saturn,Aqua,35,3732747
244,Dissolverock,900,1000,Mars,Venus,Rock,50,40826495
245,Meda Bat,800,400,Moon,Neptune,Fiend,25,76211194
246,Souls Hunter,1100,1000,Moon,Mercury,BeastWarrior,60,3606209
247,Root Water,900,800,Neptune,Sun,Fish,40,39004808
248,Master & Expert,1200,1000,Jupiter,Venus,Beast,70,75499502
249,Water Omotics,1400,1200,Neptune,Moon,Aqua,120,2483611
250,Hyo,800,1200,Neptune,Mercury,Warrior,55,38982356
251,Enchanting Mermaid,1200,900,Neptune,Venus,Fish,60,75376965
252,Nekogal #1,1100,900,Jupiter,Mercury,Beast,3100,1761063
253,Angelwitch,800,1000,Mercury,Neptune,Spellcaster,45,37160778
254,Embryonic Beast,500,750,Moon,Mars,Fiend,25,64154377
255,Prevent Rat,500,2000,Jupiter,Uranus,Beast,100,549481
256,Dimensional Warrior,1200,1000,Venus,Mars,Warrior,70,37043180
257,Stone Armadiller,800,1200,Uranus,Sun,Rock,55,63432835
258,Beastking of the Swamps,1000,1100,Uranus,Mercury,Aqua,60,99426834
259,Ancient Sorcerer,1000,1300,Mercury,Moon,Spellcaster,80,36821538
260,Lunar Queen Elzaim,750,1100,Moon,Venus,Fairy,45,62210247
261,Wicked Mirror,700,600,Venus,Jupiter,Fiend,30,15150371
262,The Little Swordsman of Aile,800,1300,Neptune,Mars,Warrior,60,25109950
263,Rock Ogre Grotto #2,700,1400,Uranus,Sun,Rock,60,62193699
264,Wing Egg Elf,500,1300,Sun,Mars,Fairy,45,98582704
265,The Furious Sea King,800,700,Neptune,Jupiter,Aqua,30,18710707
266,Princess of Tsurugi,900,700,Saturn,Venus,Warrior,35,51371017
267,Warrior of Fiend,1000,500,Mercury,Mars,Warrior,30,97360116
268,Sectarian of Secrets,700,500,Mercury,Jupiter,Spellcaster,25,15507080
269,Versago the Destroyer,1100,900,Mercury,Saturn,Fiend,55,50259460
270,Wetha,1000,900,Neptune,Saturn,Aqua,50,96643568
271,Megirus Light,900,600,Mercury,Uranus,Fiend,30,23032273
272,Mavelus,1300,900,Mars,Mercury,WingedBeast,70,59036972
273,Ancient Tree,600,1500,Jupiter,Pluto,Plant,60,86421986
274,Green Phantom King,500,1600,Jupiter,Neptune,Plant,60,22910685
275,Ground Attacker Bugroth,1500,1000,Uranus,Moon,Machine,100,58314394
276,Ray & Temperature,1000,1000,Sun,Saturn,Fairy,55,85309439
277,Gorgon Egg,300,1300,Moon,Jupiter,Fiend,35,11793047
278,Petit Moth,300,200,Jupiter,Sun,Insect,10,58192742
279,King Fog,1000,900,Mercury,Neptune,Fiend,50,84686841
280,Protector of the Throne,800,1500,Uranus,Venus,Warrior,80,10071456
281,Mystic Clown,1500,1000,Mercury,Moon,Fiend,100,47060154
282,Mystical Sheep #2,800,1000,Venus,Saturn,Beast,45,83464209
283,Holograh,1100,700,Sun,Jupiter,Machine,45,10859908
284,Tao the Chanter,1200,900,Venus,Uranus,Spellcaster,4130,46247516
285,Serpent Marauder,700,600,Neptune,Sun,Reptile,30,82742611
286,Gatekeeper,1500,1800,Mercury,Mars,Machine,290,19737320
287,Ogre of the Black Shadow,1200,1400,Moon,Saturn,BeastWarrior,120,45121025
288,Dark Artist,600,1400,Mercury,Jupiter,Fiend,4156,72520073
289,Change Slime,400,300,Neptune,Moon,Aqua,15,18914778
290,Moon Envoy,1100,1000,Moon,Saturn,Warrior,60,45909477
291,Fireyarou,1300,1000,Mars,Saturn,Pyro,80,71407486
292,Psychic Kappa,400,1000,Neptune,Venus,Aqua,30,7892180
293,Masaki the Legendary Swordsman,1100,1100,Sun,Uranus,Warrior,70,44287299
294,Dragoness the Wicked Knight,1200,900,Saturn,Mercury,Warrior,60,70681994
295,Bio Plant,600,1300,Jupiter,Moon,Fiend,50,7670542
296,One-eyed Shield Dragon,700,1300,Saturn,Pluto,Dragon,55,33064647
297,Cyber Soldier of Darkworld,1400,1200,Moon,Uranus,Machine,120,75559356
298,Wicked Dragon with the Ersatz Head,900,900,Moon,Neptune,Dragon,45,2957055
299,Sonic Maid,1200,900,Sun,Pluto,Warrior,5600,38942059
300,Kurama,800,800,Saturn,Neptune,WingedBeast,36,85705804
301,Legendary Sword,0,0,N/A,N/A,Equip,600,61854111
302,Sword of Dark Destruction,0,0,N/A,N/A,Equip,2000,37120512
303,Dark Energy,0,0,N/A,N/A,Equip,2500,4614116
304,Axe of Despair,0,0,N/A,N/A,Equip,600,40619825
305,Laser Cannon Armor,0,0,N/A,N/A,Equip,600,77007920
306,Insect Armor with Laser Cannon,0,0,N/A,N/A,Equip,800,3492538
307,Elf's Light,0,0,N/A,N/A,Equip,600,39897277
308,Beast Fangs,0,0,N/A,N/A,Equip,2500,46009906
309,Steel Shell,0,0,N/A,N/A,Equip,800,2370081
310,Vile Germs,0,0,N/A,N/A,Equip,2000,39774685
311,Black Pendant,0,0,N/A,N/A,Equip,1600,65169794
312,Silver Bow and Arrow,0,0,N/A,N/A,Equip,600,1557499
313,Horn of Light,0,0,N/A,N/A,Equip,600,38552107
314,Horn of the Unicorn,0,0,N/A,N/A,Equip,600,64047146
315,Dragon Treasure,0,0,N/A,N/A,Equip,3000,1435851
316,Electro-whip,0,0,N/A,N/A,Equip,600,37820550
317,Cyber Shield,0,0,N/A,N/A,Equip,600,63224564
318,Elegant Egotist,0,0,N/A,N/A,Equip,16000,90219263
319,Mystical Moon,0,0,N/A,N/A,Equip,600,36607978
320,Stop Defense,0,0,N/A,N/A,Magic,4000,63102017
321,Malevolent Nuzzler,0,0,N/A,N/A,Equip,3000,99597615
322,Violet Crystal,0,0,N/A,N/A,Equip,600,15052462
323,Book of Secret Arts,0,0,N/A,N/A,Equip,600,91595718
324,Invigoration,0,0,N/A,N/A,Equip,600,98374133
325,Machine Conversion Factory,0,0,N/A,N/A,Equip,2400,25769732
326,Raise Body Heat,0,0,N/A,N/A,Equip,2000,51267887
327,Follow Wind,0,0,N/A,N/A,Equip,600,98252586
328,Power of Kaishin,0,0,N/A,N/A,Equip,600,77027445
329,Dragon Capture Jar,0,0,N/A,N/A,Magic,1800,50045299
330,Forest,0,0,N/A,N/A,Magic,56,87430998
331,Wasteland,0,0,N/A,N/A,Magic,56,23424603
332,Mountain,0,0,N/A,N/A,Magic,56,50913601
333,Sogen,0,0,N/A,N/A,Magic,56,86318356
334,Umi,0,0,N/A,N/A,Magic,56,22702055
335,Yami,0,0,N/A,N/A,Magic,56,59197169
336,Dark Hole,0,0,N/A,N/A,Magic,10000,53129443
337,Raigeki,0,0,N/A,N/A,Magic,20000,12580477
338,Mooyan Curry,0,0,N/A,N/A,Magic,700,58074572
339,Red Medicine,0,0,N/A,N/A,Magic,1500,38199696
340,Goblin's Secret Remedy,0,0,N/A,N/A,Magic,2500,11868825
341,Soul of the Pure,0,0,N/A,N/A,Magic,4000,47852924
342,Dian Keto the Cure Master,0,0,N/A,N/A,Magic,8000,84257639
343,Sparks,0,0,N/A,N/A,Magic,100,76103675
344,Hinotama,0,0,N/A,N/A,Magic,200,46130346
345,Final Flame,0,0,N/A,N/A,Magic,800,73134081
346,Ookazi,0,0,N/A,N/A,Magic,1600,19523799
347,Tremendous Fire,0,0,N/A,N/A,Magic,5000,46918794
348,Swords of Revealing Light,0,0,N/A,N/A,Magic,20000,72302403
349,Spellbinding Circle,0,0,N/A,N/A,Magic,10000,18807108
350,Dark-piercing Light,0,0,N/A,N/A,Magic,1000,45895206
351,Yaranzo,1300,1500,Moon,Mercury,Zombie,3600,71280811
352,Kanan the Swordmistress,1400,1400,Uranus,Neptune,Warrior,3600,12829151
353,Takriminos,1500,1200,Neptune,Mercury,SeaSerpent,3600,44073668
354,Stuffed Animal,1200,900,Moon,Mars,Warrior,4000,71068263
355,Megasonic Eye,1500,1800,Moon,Jupiter,Machine,5000,7562372
356,Super War-lion,2300,2100,Jupiter,Venus,Beast,1000,33951077
357,Yamadron,1600,1800,Mars,Uranus,Dragon,1600,70345785
358,Seiyaryu,2500,2300,Sun,Neptune,Dragon,3800,6740720
359,Three-legged Zombies,1100,800,Moon,Pluto,Zombie,1800,33734439
360,Zera The Mant,2800,2300,Moon,Saturn,Fiend,9950,69123138
361,Flying Penguin,1200,1000,Neptune,Jupiter,Aqua,700,5628232
362,Millennium Shield,0,3000,Uranus,Mars,Warrior,3000,32012841
363,Fairy's Gift,1400,1000,Jupiter,Mercury,Spellcaster,1700,68401546
364,Black Luster Soldier,3000,2500,Moon,Uranus,Warrior,25000,5405694
365,Fiend's Mirror,2100,1800,Venus,Pluto,Fiend,7000,31890339
366,Labyrinth Wall,0,3000,Uranus,Jupiter,Rock,200,67284908
367,Jirai Gumo,2200,100,Jupiter,Uranus,Insect,80,94773007
368,Shadow Ghoul,1600,1300,Moon,Pluto,Zombie,180,30778711
369,Wall Shadow,1600,3000,Moon,Neptune,Warrior,8500,63162310
370,Labyrinth Tank,2400,2400,Moon,Mercury,Machine,6800,99551425
371,Sanga of the Thunder,2600,2200,Pluto,Mars,Thunder,2600,25955164
372,Kazejin,2400,2200,Saturn,Mars,Spellcaster,2400,62340868
373,Suijin,2500,2400,Neptune,Saturn,Aqua,2500,98434877
374,Gate Guardian,3750,3400,Moon,Mars,Warrior,50000,92886423
375,Dungeon Worm,1800,1500,Uranus,Moon,Insect,290,51228280
376,Monster Tamer,1800,1600,Jupiter,Pluto,Warrior,320,97612389
377,Ryu-kishin Powered,1600,1200,Moon,Jupiter,Fiend,160,24611934
378,Swordstalker,2000,1600,Moon,Saturn,Warrior,400,50005633
379,La Jinn the Mystical Genie,1800,1000,Mercury,Saturn,Fiend,160,97590747
380,Blue-eyes Ultimate Dragon,4500,3800,Sun,Venus,Dragon,65000,86985631
381,Toon Alligator,800,1600,Neptune,Mars,Reptile,120,59383041
382,Rude Kaiser,1800,1600,Uranus,Sun,BeastWarrior,320,26378150
383,Parrot Dragon,2000,1300,Saturn,Sun,Dragon,290,62762898
