card_id,opponent,sa-pow,bcd-pt,sa-tec
015,Guardian Neku,0,0,24
015,Darknite,22,26,1
016,Simon Muran,60,64,54
016,Jono,64,50,64
016,Yami Bakura,50,54,46
016,High Mage Atenza,8,0,0
016,Nitemare,2,0,20
017,High Mage Atenza,4,0,0
017,Nitemare,0,0,20
018,High Mage Anubisius,4,0,0
019,Teana,0,0,6
019,High Mage Secmeton,20,0,0
020,High Mage Martis,20,0,0
021,Simon Muran,0,0,25
021,Desert Mage,6,0,0
021,High Mage Kepura,18,0,0
022,Shadi,16,0,0
022,High Mage Martis,24,0,0
022,Guardian Neku,22,0,0
022,Heishin 2nd,0,0,20
022,Nitemare,12,0,0
023,Villager2,18,0,0
023,Villager3,20,0,0
023,Weevil Underwood,0,10,4
023,Pegasus,42,56,0
023,Kaiba,145,186,0
023,Forest Mage,0,6,0
023,Desert Mage,0,6,4
023,High Mage Martis,0,12,12
023,High Mage Kepura,64,80,0
023,Labyrinth Mage,0,16,14
023,Guardian Sebek,8,0,0
023,Seto 3rd,6,0,0
023,Darknite,30,26,1
023,Duel Master K,20,0,0
024,Simon Muran,27,28,1
024,Teana,186,186,170
024,Villager1,80,82,66
024,Villager2,18,26,37
024,Villager3,14,26,19
024,Bandit Keith,36,52,1
024,Pegasus,0,0,48
024,Teana 2nd,172,182,172
024,Ocean Mage,0,6,0
024,High Mage Anubisius,0,0,1
024,Montain Mage,52,78,60
024,High Mage Atenza,0,0,1
024,Duel Master K,14,26,16
025,Simon Muran,27,0,0
025,Villager2,15,0,0
025,Weevil Underwood,26,32,0
025,Pegasus,0,0,36
025,Mage Soldier,20,28,0
025,High Mage Anubisius,18,24,1
025,High Mage Atenza,0,0,1
025,High Mage Martis,2,12,12
025,Meadow Mage,44,62,50
025,Labyrinth Mage,16,22,14
025,Seto 2nd,40,46,36
025,Guardian Neku,0,26,0
025,Heishin 2nd,0,6,0
025,Seto 3rd,24,32,18
026,Heishin,30,6,0
026,Mai Valentine,32,40,0
026,Bandit Keith,0,0,10
026,Pegasus,34,0,16
026,Kaiba,130,18,0
026,Mage Soldier,22,28,0
026,Jono 2nd,8,0,0
026,High Mage Anubisius,8,0,1
026,High Mage Atenza,24,30,1
026,High Mage Martis,12,12,12
026,High Mage Kepura,64,80,0
026,Guardian Neku,0,26,0
026,Darknite,24,26,1
026,Nitemare,0,6,0
027,Mai Valentine,32,50,0
027,Pegasus,34,0,0
027,Mage Soldier,22,28,0
027,High Mage Anubisius,0,0,1
027,High Mage Atenza,24,30,1
027,Meadow Mage,44,50,46
027,Seto 2nd,32,40,32
027,Guardian Neku,22,26,0
027,Heishin 2nd,14,0,0
027,Darknite,24,26,1
028,Mai Valentine,10,0,0
028,Jono 2nd,20,0,0
028,Darknite,0,0,1
029,Jono,64,0,0
029,Rex Raptor,24,25,18
029,Shadi,10,12,18
029,Pegasus,34,40,32
029,Jono 2nd,22,23,1
029,Ocean Mage,18,12,1
029,High Mage Anubisius,0,0,1
029,Desert Mage,18,18,16
029,High Mage Martis,12,12,12
029,Guardian Neku,26,0,0
029,Darknite,24,26,1
030,Simon Muran,27,0,0
030,Villager2,30,0,0
030,Villager3,28,0,0
030,Heishin,22,26,1
030,Bandit Keith,28,40,36
030,Jono 2nd,0,0,4
030,High Mage Anubisius,0,0,1
030,Meadow Mage,44,50,46
030,Labyrinth Mage,30,40,30
030,Seto 2nd,32,40,32
030,Guardian Sebek,24,26,24
030,Heishin 2nd,22,26,1
030,Darknite,0,0,1
030,Duel Master K,28,0,0
031,Heishin,30,0,0
031,Mai Valentine,32,40,0
031,Shadi,10,0,0
031,Pegasus,34,0,0
031,Isis,40,10,0
031,Kaiba,80,0,0
031,Mage Soldier,22,28,0
031,High Mage Atenza,24,30,1
031,Meadow Mage,46,50,46
031,High Mage Kepura,32,40,56
031,Seto 2nd,32,40,32
031,Guardian Neku,20,26,1
031,Heishin 2nd,0,0,20
031,Darknite,24,26,1
031,Nitemare,0,48,0
032,Rex Raptor,70,0,0
032,Mai Valentine,32,0,0
032,Bandit Keith,30,0,0
032,Mage Soldier,24,0,0
032,High Mage Atenza,24,30,1
032,Desert Mage,66,70,64
032,Guardian Sebek,24,26,24
032,Guardian Neku,20,26,0
032,Heishin 2nd,0,0,20
032,Darknite,0,0,1
033,Heishin,30,0,0
033,High Mage Martis,12,0,0
033,High Mage Kepura,72,0,0
033,Seto 2nd,16,20,12
033,Heishin 2nd,0,0,20
033,Darknite,26,24,1
033,Nitemare,32,0,0
034,Villager2,15,0,0
034,Villager3,14,0,0
034,Heishin,22,26,1
034,Yami Bakura,48,40,0
034,Kaiba,142,174,0
034,Ocean Mage,0,0,6
034,High Mage Secmeton,26,33,0
034,High Mage Martis,25,26,25
034,High Mage Kepura,64,80,0
034,Labyrinth Mage,16,16,14
034,Guardian Neku,0,0,1
034,Heishin 2nd,22,26,20
034,Duel Master K,14,0,0
035,Heishin,20,0,0
035,Meadow Mage,46,0,0
035,Seto 2nd,40,0,0
035,Heishin 2nd,4,0,20
035,Nitemare,32,0,0
036,Villager2,15,0,0
036,Heishin,22,26,1
036,Mai Valentine,32,40,0
036,Bandit Keith,92,108,0
036,Mage Soldier,22,26,0
036,High Mage Atenza,24,30,1
036,Labyrinth Mage,16,16,14
036,Guardian Sebek,74,76,70
036,Guardian Neku,22,26,0
036,Heishin 2nd,22,26,0
036,Duel Master K,0,0,56
037,High Mage Atenza,6,0,20
037,Seto 2nd,8,0,0
037,Heishin 2nd,8,0,0
037,Darknite,10,0,20
038,Heishin,28,0,20
038,Mage Soldier,20,0,0
038,Meadow Mage,46,0,0
038,Seto 2nd,60,0,0
038,Heishin 2nd,28,0,0
038,Seto 3rd,26,0,0
038,Darknite,26,0,0
038,Nitemare,44,0,0
039,Heishin,0,0,20
039,Meadow Mage,46,0,0
039,High Mage Kepura,72,0,0
039,Seto 2nd,32,40,0
039,Heishin 2nd,0,0,1
039,Darknite,26,56,0
039,Nitemare,44,34,0
040,Villager2,15,26,0
040,Villager3,14,18,0
040,Seto,140,0,0
040,Pegasus,66,80,64
040,Forest Mage,30,12,18
040,High Mage Martis,12,12,12
040,Labyrinth Mage,16,16,14
040,Heishin 2nd,0,0,1
040,Darknite,56,58,1
040,Duel Master K,14,18,0
041,Simon Muran,27,0,0
041,Heishin,22,0,0
041,Weevil Underwood,26,0,0
041,Mai Valentine,32,40,46
041,Mage Soldier,22,26,0
041,High Mage Anubisius,24,24,1
041,High Mage Atenza,24,30,1
041,Meadow Mage,46,50,46
041,Seto 2nd,50,58,48
041,Guardian Neku,20,26,1
042,Heishin,22,26,1
042,High Mage Secmeton,52,0,0
042,High Mage Martis,12,12,12
042,High Mage Kepura,36,40,0
042,Heishin 2nd,22,26,1
042,Darknite,52,72,1
043,Mai Valentine,32,40,0
043,Mage Soldier,22,26,0
043,Jono 2nd,22,23,1
043,High Mage Secmeton,12,0,0
043,High Mage Atenza,24,30,1
043,Seto 2nd,16,20,0
043,Guardian Neku,20,26,0
043,Darknite,14,0,0
044,Heishin,22,28,1
044,Weevil Underwood,26,0,0
044,Mai Valentine,32,40,46
044,Yami Bakura,50,0,0
044,Pegasus,36,0,0
044,Mage Soldier,22,26,0
044,High Mage Secmeton,0,33,0
044,High Mage Anubisius,24,24,1
044,High Mage Atenza,24,30,1
044,High Mage Martis,12,12,12
044,Guardian Neku,22,26,0
044,Heishin 2nd,22,28,1
044,Darknite,46,48,1
045,Villager2,15,26,25
045,Villager3,14,18,15
045,Rex Raptor,18,19,18
045,Shadi,10,12,12
045,Pegasus,36,80,0
045,Ocean Mage,12,12,1
045,Desert Mage,18,18,16
045,Labyrinth Mage,14,16,14
045,Duel Master K,14,18,34
046,Simon Muran,27,0,0
046,Mai Valentine,32,40,0
046,Pegasus,36,0,0
046,Mage Soldier,22,26,0
046,High Mage Atenza,24,30,1
046,Meadow Mage,46,50,46
046,Seto 2nd,32,40,0
046,Guardian Neku,22,26,1
046,Darknite,22,24,1
047,Simon Muran,27,29,0
047,Villager3,14,18,15
047,Rex Raptor,18,19,18
047,Pegasus,36,38,0
047,Desert Mage,18,18,16
047,High Mage Martis,12,12,12
047,Meadow Mage,46,50,46
047,Seto 2nd,32,40,0
047,Darknite,22,24,1
047,Duel Master K,14,18,16
048,Simon Muran,27,29,0
048,Jono,10,0,0
048,Rex Raptor,18,19,18
048,Shadi,10,12,12
048,Mage Soldier,20,26,0
048,Ocean Mage,12,12,1
048,Desert Mage,18,18,16
048,High Mage Martis,25,26,25
048,Meadow Mage,46,50,46
048,Seto 2nd,32,40,32
048,Guardian Neku,22,26,1
048,Seto 3rd,16,32,12
049,Weevil Underwood,72,0,0
049,Mai Valentine,32,40,0
049,Mage Soldier,0,26,0
049,High Mage Anubisius,72,72,1
049,High Mage Atenza,24,30,1
049,Guardian Neku,22,26,1
050,Jono,0,44,40
050,Seto,0,21,0
050,Weevil Underwood,68,84,42
050,Shadi,10,12,12
050,Jono 2nd,20,46,1
050,Ocean Mage,12,12,1
050,Forest Mage,24,0,24
050,High Mage Anubisius,72,72,1
051,Rex Raptor,8,0,0
051,Jono 2nd,12,0,52
051,Ocean Mage,18,0,0
051,High Mage Secmeton,0,10,0
051,Forest Mage,1,0,0
051,High Mage Anubisius,0,0,24
051,High Mage Atenza,0,0,1
052,Weevil Underwood,30,0,0
052,Forest Mage,5,0,0
052,High Mage Anubisius,16,2,24
052,High Mage Atenza,0,0,1
053,Villager2,15,0,0
053,Villager3,14,0,0
053,Weevil Underwood,60,120,0
053,High Mage Anubisius,102,100,1
053,Labyrinth Mage,15,16,14
053,Duel Master K,14,0,0
054,Weevil Underwood,98,0,0
054,Mai Valentine,47,32,46
054,Mage Soldier,24,26,0
054,High Mage Anubisius,90,100,1
054,High Mage Atenza,0,30,1
054,Guardian Neku,21,26,1
055,Weevil Underwood,50,0,0
055,Mai Valentine,47,32,0
055,Mage Soldier,24,26,0
055,High Mage Anubisius,72,72,0
055,High Mage Atenza,24,30,1
055,Guardian Neku,21,26,1
056,Forest Mage,0,32,0
057,Heishin,5,0,20
057,Weevil Underwood,8,0,22
058,Simon Muran,30,30,1
058,Teana,90,180,170
058,Villager1,74,76,60
058,Mai Valentine,10,0,0
058,Mage Soldier,20,26,0
058,Teana 2nd,172,182,1
058,Montain Mage,72,72,56
059,Simon Muran,27,0,0
059,Villager2,15,0,0
059,Villager3,14,18,0
059,Rex Raptor,36,0,0
059,Desert Mage,34,36,32
059,High Mage Martis,12,12,12
059,Meadow Mage,46,50,46
059,Labyrinth Mage,15,16,14
059,Seto 2nd,32,40,32
059,Duel Master K,14,18,0
060,Mai Valentine,40,0,0
060,Ocean Mage,9,0,52
060,High Mage Secmeton,0,10,0
061,Jono,20,0,0
061,Villager2,15,26,0
061,Villager3,14,18,0
061,Pegasus,26,38,0
061,Jono 2nd,22,23,1
061,High Mage Martis,12,12,12
061,Labyrinth Mage,15,16,14
061,Darknite,22,24,1
061,Duel Master K,14,18,0
062,Mai Valentine,0,32,0
062,High Mage Atenza,0,0,1
063,Mai Valentine,8,0,36
063,High Mage Atenza,0,0,1
063,Nitemare,32,0,0
064,Pegasus,0,0,52
064,Jono 2nd,9,0,0
064,Forest Mage,0,0,32
065,Simon Muran,27,0,0
065,Villager2,15,26,0
065,Villager3,14,18,0
065,Mai Valentine,10,0,0
065,Pegasus,26,38,0
065,Forest Mage,8,0,32
065,High Mage Martis,12,12,12
065,Meadow Mage,46,50,46
065,Labyrinth Mage,15,16,14
065,Seto 2nd,32,40,0
065,Darknite,22,24,0
065,Duel Master K,14,18,0
066,Kaiba,12,12,0
067,Heishin,8,0,0
067,High Mage Anubisius,0,0,20
068,Jono 2nd,24,0,0
068,High Mage Secmeton,25,0,0
068,Forest Mage,5,0,48
068,High Mage Atenza,0,0,15
068,High Mage Kepura,36,40,0
068,Darknite,22,24,0
069,Jono 2nd,0,0,34
070,Weevil Underwood,26,0,0
070,Mai Valentine,32,32,42
070,Shadi,48,0,0
070,Isis,50,0,0
070,Mage Soldier,22,26,0
070,Ocean Mage,32,56,1
070,High Mage Anubisius,10,26,1
070,High Mage Atenza,25,30,1
070,Labyrinth Mage,15,16,14
070,Guardian Neku,21,26,1
070,Nitemare,0,48,0
071,Mai Valentine,32,32,0
071,Shadi,48,0,0
071,Isis,40,0,0
071,Mage Soldier,22,26,0
071,Ocean Mage,32,56,1
071,High Mage Atenza,25,30,1
071,Labyrinth Mage,15,16,14
071,Guardian Neku,21,26,1
071,Nitemare,0,48,0
072,Weevil Underwood,12,0,0
072,Forest Mage,6,0,0
072,High Mage Anubisius,4,2,0
073,Jono 2nd,20,0,0
073,Ocean Mage,32,0,0
073,High Mage Secmeton,25,0,0
073,High Mage Atenza,24,0,0
073,High Mage Kepura,32,39,0
073,Nitemare,0,0,20
074,Heishin,13,28,1
074,High Mage Secmeton,25,0,0
074,Meadow Mage,46,0,0
074,High Mage Kepura,32,39,0
074,Labyrinth Mage,16,14,0
074,Seto 2nd,32,40,32
074,Heishin 2nd,31,28,1
075,Seto,0,115,0
075,Forest Mage,120,117,104
076,Seto,140,0,0
076,Forest Mage,46,42,48
077,Weevil Underwood,22,33,0
077,Shadi,24,0,0
077,Kaiba,130,174,0
077,Mage Soldier,22,26,0
077,Ocean Mage,24,24,1
077,High Mage Anubisius,10,26,1
077,High Mage Martis,12,12,12
077,High Mage Kepura,60,78,100
077,Guardian Neku,21,26,1
078,Mai Valentine,32,0,14
078,Bandit Keith,30,0,0
078,Jono 2nd,52,23,1
078,High Mage Atenza,25,30,1
078,Seto 2nd,16,18,12
078,Guardian Sebek,24,26,24
078,Nitemare,32,0,0
079,Heishin,24,24,0
079,Desert Mage,80,0,0
079,High Mage Martis,0,0,6
079,Seto 2nd,16,18,0
079,Heishin 2nd,24,24,0
079,Seto 3rd,24,24,0
079,Darknite,24,22,0
079,Nitemare,30,34,0
080,Villager2,15,0,0
080,Rex Raptor,72,0,0
080,Weevil Underwood,22,33,0
080,High Mage Anubisius,24,26,1
080,Desert Mage,64,64,62
080,Labyrinth Mage,14,16,14
081,Rex Raptor,66,0,0
081,Mai Valentine,30,0,0
081,Bandit Keith,30,0,0
081,Mage Soldier,24,0,0
081,High Mage Atenza,25,27,1
081,Desert Mage,64,64,62
081,Guardian Sebek,24,26,24
081,Guardian Neku,21,26,1
082,Rex Raptor,26,0,0
083,Mai Valentine,30,0,0
083,Bandit Keith,30,0,0
083,Shadi,10,0,0
083,Mage Soldier,72,0,0
083,High Mage Atenza,25,27,1
083,High Mage Martis,12,12,12
083,Guardian Sebek,24,26,24
083,Guardian Neku,67,67,1
083,Seto 3rd,22,32,20
084,High Mage Secmeton,25,0,0
084,High Mage Martis,12,0,0
084,High Mage Kepura,32,39,0
084,Guardian Neku,67,67,1
084,Seto 3rd,22,32,20
085,High Mage Martis,12,0,0
085,High Mage Kepura,40,0,0
085,Guardian Neku,67,67,0
085,Seto 3rd,22,22,0
085,Darknite,24,22,0
085,Nitemare,32,0,0
086,Mai Valentine,30,0,0
086,Bandit Keith,30,0,0
086,Mage Soldier,72,0,0
086,High Mage Atenza,25,27,1
086,High Mage Martis,12,12,12
086,Guardian Sebek,24,26,24
086,Guardian Neku,67,67,1
086,Seto 3rd,22,32,20
087,High Mage Secmeton,25,35,0
087,High Mage Martis,12,12,0
087,Guardian Sebek,24,26,24
087,Guardian Neku,67,67,1
087,Seto 3rd,22,32,20
088,High Mage Secmeton,25,0,0
088,High Mage Martis,12,0,0
088,High Mage Kepura,32,39,0
088,Guardian Neku,67,67,1
088,Seto 3rd,22,32,20
089,Ocean Mage,24,0,0
089,High Mage Secmeton,25,35,0
089,High Mage Atenza,25,27,0
089,Meadow Mage,46,50,0
089,Labyrinth Mage,16,14,0
089,Seto 2nd,32,38,32
089,Guardian Sebek,24,26,24
089,Nitemare,0,48,0
090,Heishin,24,24,0
090,High Mage Secmeton,25,0,0
090,High Mage Martis,12,0,0
090,High Mage Kepura,72,0,0
090,Seto 2nd,16,18,0
090,Heishin 2nd,24,24,0
090,Seto 3rd,24,22,0
090,Darknite,24,22,0
090,Nitemare,32,34,0
091,Mai Valentine,30,0,0
091,Bandit Keith,30,0,0
091,Pegasus,26,0,0
091,Kaiba,148,0,0
091,High Mage Atenza,25,27,1
091,High Mage Martis,12,12,12
091,High Mage Kepura,60,78,88
091,Guardian Sebek,24,26,24
091,Darknite,22,24,0
092,Shadi,20,0,0
092,Pegasus,0,0,30
092,Mage Soldier,0,0,20
092,Forest Mage,7,0,32
092,High Mage Kepura,16,0,0
093,High Mage Secmeton,25,35,0
093,High Mage Kepura,32,40,0
093,Seto 2nd,16,18,0
093,Guardian Sebek,74,76,70
094,Montain Mage,12,10,0
094,Meadow Mage,20,22,0
095,Mai Valentine,30,40,0
095,Bandit Keith,54,40,0
095,Mage Soldier,44,52,0
095,High Mage Atenza,25,27,1
095,High Mage Martis,12,12,12
095,Guardian Sebek,50,76,46
095,Guardian Neku,43,46,0
095,Seto 3rd,22,32,20
096,Villager2,14,26,25
096,Villager3,14,18,15
096,Heishin,22,28,1
096,Rex Raptor,16,19,16
096,Bandit Keith,92,108,108
096,Shadi,10,12,12
096,Ocean Mage,2,12,1
096,Desert Mage,16,18,16
096,Labyrinth Mage,14,16,14
096,Heishin 2nd,22,28,1
096,Duel Master K,14,18,14
097,Villager2,30,26,25
097,Villager3,14,18,15
097,Heishin,22,28,1
097,Rex Raptor,16,19,16
097,Bandit Keith,92,108,108
097,Shadi,10,12,12
097,Ocean Mage,12,12,1
097,Forest Mage,0,0,64
097,Desert Mage,16,18,16
097,High Mage Martis,12,12,12
097,Labyrinth Mage,14,16,14
097,Guardian Sebek,74,76,70
097,Heishin 2nd,22,28,1
097,Duel Master K,14,18,14
098,Villager2,14,26,25
098,Villager3,14,18,17
098,Seto,0,21,0
098,Heishin,22,28,1
098,Bandit Keith,92,108,108
098,Shadi,10,12,12
098,Ocean Mage,2,12,1
098,Forest Mage,24,22,0
098,Labyrinth Mage,14,16,14
098,Heishin 2nd,22,28,1
098,Duel Master K,14,18,14
099,Seto,54,0,32
099,Heishin,48,48,0
099,Labyrinth Mage,18,0,0
099,Seto 2nd,16,18,0
099,Guardian Sebek,74,76,0
099,Heishin 2nd,48,48,0
099,Seto 3rd,24,24,0
099,Darknite,24,22,0
099,Nitemare,32,34,28
100,Jono,40,0,0
100,Rex Raptor,0,19,16
100,Jono 2nd,22,23,1
100,Desert Mage,16,18,16
100,High Mage Martis,12,12,12
100,Seto 2nd,16,18,0
101,Seto,0,42,0
101,Shadi,10,12,12
101,Ocean Mage,2,12,1
101,Forest Mage,46,42,0
102,Simon Muran,0,14,1
102,Teana,12,0,0
102,Villager2,0,12,12
102,Meadow Mage,0,22,20
103,Villager2,16,0,0
103,Villager3,14,0,0
103,Seto,30,0,0
103,Mage Soldier,20,26,1
103,High Mage Martis,0,12,12
103,Labyrinth Mage,15,16,14
103,Guardian Neku,21,26,0
103,Seto 3rd,22,32,0
103,Nitemare,0,0,48
103,Duel Master K,14,0,0
104,Jono,44,44,40
104,Seto,0,21,0
104,Heishin,22,28,1
104,Yami Bakura,46,48,40
104,Jono 2nd,38,46,1
104,High Mage Secmeton,25,33,0
104,Forest Mage,24,22,0
104,High Mage Martis,0,12,12
104,Heishin 2nd,22,28,1
105,Simon Muran,52,57,1
105,Jono,44,44,40
105,Rex Raptor,36,38,32
105,Jono 2nd,30,46,1
106,Heishin,22,28,1
106,High Mage Secmeton,30,76,0
106,High Mage Martis,0,12,0
106,Guardian Sebek,24,26,24
106,Heishin 2nd,22,28,1
107,Seto,0,21,0
107,Rex Raptor,16,19,16
107,Shadi,12,12,12
107,Ocean Mage,12,12,12
107,Forest Mage,24,22,0
107,Desert Mage,16,18,16
107,Seto 2nd,16,18,0
108,Villager2,14,26,25
108,Villager3,14,18,17
108,Heishin,22,28,1
108,Rex Raptor,16,19,16
108,Bandit Keith,28,40,36
108,Shadi,12,12,12
108,Ocean Mage,12,12,12
108,Desert Mage,16,18,16
108,High Mage Martis,12,12,12
108,Labyrinth Mage,15,16,14
108,Guardian Sebek,24,26,24
108,Heishin 2nd,22,28,1
108,Duel Master K,14,18,16
109,Villager2,14,0,0
109,Villager3,14,0,0
109,Weevil Underwood,22,33,0
109,Yami Bakura,48,44,0
109,Teana 2nd,16,0,0
109,High Mage Secmeton,25,33,0
109,High Mage Anubisius,24,26,1
109,Labyrinth Mage,15,16,14
109,Duel Master K,14,0,0
110,Villager2,14,0,0
110,Villager3,14,0,0
110,Labyrinth Mage,15,16,14
110,Seto 2nd,16,18,0
110,Duel Master K,14,0,0
111,Teana 2nd,16,0,0
111,Montain Mage,12,10,0
111,Meadow Mage,20,22,0
112,Villager1,12,0,0
112,Montain Mage,11,10,8
113,Rex Raptor,0,19,16
113,Pegasus,26,38,34
113,Desert Mage,16,18,16
113,High Mage Martis,12,12,12
113,Darknite,22,24,1
114,Heishin,22,28,1
114,Rex Raptor,18,19,16
114,Yami Bakura,46,48,40
114,High Mage Secmeton,25,33,0
114,Desert Mage,16,18,16
114,High Mage Martis,25,26,25
114,Heishin 2nd,22,28,1
115,Villager2,14,0,0
115,Heishin,22,28,1
115,Weevil Underwood,22,33,0
115,Yami Bakura,46,40,0
115,Mage Soldier,20,26,0
115,High Mage Secmeton,25,33,0
115,High Mage Anubisius,24,26,1
115,High Mage Martis,12,12,12
115,Labyrinth Mage,15,16,14
115,Guardian Neku,21,26,0
115,Heishin 2nd,22,28,1
116,Rex Raptor,18,19,16
116,Weevil Underwood,20,33,32
116,High Mage Anubisius,24,26,1
116,Desert Mage,16,18,16
116,High Mage Martis,12,12,12
117,Pegasus,8,12,6
117,Kaiba,12,12,1
118,Villager2,15,26,0
118,Villager3,14,18,0
118,High Mage Martis,12,12,12
118,Labyrinth Mage,15,16,0
118,Seto 2nd,16,18,2
118,Duel Master K,14,18,0
119,Villager2,15,0,0
119,Villager3,14,0,0
119,Weevil Underwood,22,33,0
119,Mage Soldier,20,26,1
119,High Mage Anubisius,24,26,0
119,High Mage Martis,12,12,12
119,Labyrinth Mage,15,16,0
119,Guardian Neku,21,26,0
119,Seto 3rd,22,32,0
119,Duel Master K,14,0,0
120,Villager2,15,0,0
120,Villager3,14,0,0
120,Labyrinth Mage,15,16,0
120,Seto 2nd,16,18,2
120,Duel Master K,14,0,0
121,Villager2,15,0,0
121,Weevil Underwood,22,33,0
121,Pegasus,20,40,0
121,Mage Soldier,20,26,0
121,High Mage Anubisius,24,26,0
121,Labyrinth Mage,15,16,0
121,Guardian Neku,21,26,0
121,Darknite,22,24,0
122,Jono,44,44,40
122,Seto,138,21,1
122,Shadi,12,12,0
122,Pegasus,36,38,1
122,Isis,44,64,56
122,Kaiba,64,84,1
122,Jono 2nd,44,46,1
122,Ocean Mage,12,12,1
122,Forest Mage,0,22,0
122,High Mage Kepura,0,40,48
123,Simon Muran,52,57,1
123,Villager1,74,76,60
123,Seto,0,21,1
123,Weevil Underwood,22,33,0
123,Montain Mage,52,72,56
124,Seto,16,0,0
124,High Mage Secmeton,25,35,0
124,Guardian Sebek,50,50,46
124,Nitemare,0,0,48
125,Weevil Underwood,30,0,0
125,Mai Valentine,54,120,132
125,Pegasus,36,0,0
125,Mage Soldier,22,26,0
125,High Mage Anubisius,22,22,1
125,High Mage Atenza,50,84,1
125,Guardian Neku,21,26,0
125,Darknite,22,24,0
126,High Mage Secmeton,30,0,0
126,High Mage Kepura,32,39,0
127,Seto,16,0,0
127,Mai Valentine,30,0,0
127,Bandit Keith,30,0,0
127,Mage Soldier,0,0,68
127,High Mage Atenza,25,27,1
127,Seto 2nd,16,18,32
127,Guardian Sebek,24,26,24
128,Yami Bakura,10,10,6
128,Kaiba,12,13,0
128,Mage Soldier,0,0,66
128,Seto 2nd,0,0,32
129,Heishin,0,28,1
129,Rex Raptor,18,19,16
129,Shadi,12,12,0
129,Yami Bakura,46,48,40
129,Ocean Mage,12,12,1
129,High Mage Secmeton,25,33,0
